"doc_id","contents"
"39e30f5e-67b6-494e-9e7a-500d35f8815a","1.各景区、酒店以及公路服务区内均有商品销售，不属于行程内购物店范畴；
2.此行程中涉及的购物店以及购物店相关商品，请客人谨慎购买，客人在购物店购买商品时，请根据个人需要及喜好理性消费，绝不强迫购物；售出商品请客人自行保管好发票及购物小票，作为今后退换货品的唯一凭证，我社将依据相关法律配合客人换货品，游客在上述购物店中为自愿购物，所购商品非质量问题一律予退还：不
3.非在本协议内商场商店内购买的商品，我社不提供退换货的协助工作，敬请谅解。
本人为年满18周岁公民，具有正常的民事行为能力(已详细阅读以上内容，对以上内容组团社已详细说明），本人自愿在自由活动期间，跟随导游前往上述自费旅游景点以及购物店，对于所有上述自费旅游项目的详细情况以及有可能发生的潜在风险均已了解，其余详尽事宜，已在上述说明中阐述，本人完全明白，对此毫无异议。（请出行的每位游客均签字）
旅游者本人 (盖章或者签字)
签订日期：
组团社旅行社(盖章)"
"9889978e-96c9-4b40-8c48-dca30b14a8aa","# 3、牛特别提醒：此天多为无人区、无服务区、多为旱厕、建议备伞

5、受旅游发展限制，青海地区酒店发展较慢，硬件及软件方面较内地落后，门面大厅及房间面积相对较小请不要用内地标准星级酒店来衡量西北的酒店，青海地区房间均无空调设备（除五星级酒店）
6、西北地区受宗教影响，风俗习惯与我们不同，游览时请谨记地陪宣布有关旅游注意事项，入乡随俗，在任何场合下都不要提及有关少数民族的政治问题，配合好地陪工作。穆斯林民族地区(包括西北地区回、维吾尔、撒拉、哈萨克等十个民族）、、（1）忌食猪、狗、马、骤等不反刍动物的肉及一切动物的血，不食自死动物；；(2）进入清真寺禁止吸烟、饮酒、在礼拜堂内禁止拍照；：（3）点忌讳在回族聚集的地方或清真餐厅谈论关于“猪”白的话题，这是民族感情问题哦。
7、一般寺庙内是严禁拍摄的，偷拍后果十分严重。有些地方注明付款后才可拍摄，如有需要，请按当地规定执行，拍摄人物，尤其是僧侣、妇女，取景前一定要经对方允许，以免不必要的麻烦，在野外拍摄时，谨记安全第一，注意自身身体状况，请大家保管好随身拍摄器材，谨防丢失。
8、旅游者应做好身体方面的准备，并自带一些常用必备的药品，如：感冒药、腹泻药、红景天、阿司匹林百服宁、保心丸等药品及创可帖、清凉油等。
9、当地特产：冬虫夏草.鹿茸.麝香.西宁毛（藏系羊毛）湟源银器.饰品.藏刀.地毯等；青海小吃：西宁涮羊肉.烤羊肉.手抓羊肉.羊羔肉.酸奶.甜酪.子.酿皮.尕面片.青稞酒.酥油粑.肉奶制品奶酪.甜奶粉及羊杂碎等。10.特殊限制：
为了确保旅游顺利出行，防止旅途中发生人身意外伤害事故，请旅游者在出行前做一次必要的身体检查如存在下列情况，因服务能力所限无法接待：
(1)↑传染性疾病患者，如传染性肝炎、活动期肺结核、伤寒等传染病人；
（2）心血管疾病患者，如严重高血压、心功能不全、心肌缺氧、心肌梗塞等病人；
(3）脑血管疾病患者，如脑栓塞、脑出血、脑肿瘤等病人;
（4）呼吸系统疾病患者，如肺气肿、肺心病等病人;
（5）米精神病患者，如癫痫及各种精神病人;
（6）严重贫血病患者，如血红蛋白量水平在50克/升以下的病人；
（7）大中型手术的恢复期病患者；孕妇及行动不便者。
10.老年人：如年龄达到75-79周岁，需要家属陪同+体检证明！70-75周岁，需要体检证明+责任书！60-69周岁，需要签署安全责任书！敬请谅解！"
"ad44e483-a8ae-410b-a550-00919e05b28b","惠玩甘青】深度双飞八天Q1【
兰州、武威雷台公园、张掖七彩丹霞、大地之子、海市蜃楼、敦煌莫高窟、鸣沙山月牙泉南八仙雅丹、翡翠湖、茶卡盐湖天空壹号、青海湖二郎剑、塔尔寺全程舒适型酒店+张掖升级豪华型酒店+大柴旦/青海湖为干净卫生双标间
■【产品故事】
探索苍茫大西北，打卡青海湖、茶卡盐湖、大柴旦翡翠湖、水上雅丹，逃离城市，一场全景视觉之旅！大西北的魅力需要用双脚丈量，用双眼记录“大漠孤烟直，长河落日圆”诗人笔下的大漠风情，无限的风，光让人室息，心生向往。古往今来的丝绸之路，它的美是中国的，更是世界的，
让我们来一次大西北旅行吧，这里不仅有诗，还有远方的田野和路上的疯狂
一IJ/JHJPJ
■【行程亮点】
不走回头路，覆盖青甘最经典的美景，广东独立成团收客无限制畅收
独家优待：豪华旅游大巴车，舒适座椅，空座率达到10%以上。
美食尽情享受：山丹铁锅宴青海土火锅丝路花雨宴藏王宴
乐享静谧美梦：全程当地舒适型酒店、张掖升级豪华型酒店，大柴旦/青海湖安排干净卫生双标间
特别赠送：沙漠露营大派送礼包（ATV的体验、滑沙、爬山拍日落、荡桥、海盗船、）
特别赠送：网红玻璃船：乘坐玻璃船、探秘灵动镜湖、听海天一色的声音
独家安排：青海湖篝火晚会：燃起篝火、放下疲惫、心情要好、生活要嗨
暖心赠送：每人一条丝巾、把美好记忆带回家！行程中每人每天1瓶水
暖心赠送：24小时接机服务、随接随走、机场--酒店无缝对接！
暖心赠送：24小时专属管家、任何问题行中随时在线解决
HJITJTJIJILHJUTVA
■【游玩推介】
【七彩丹霞】中国彩虹山，上帝打翻的调色盘，远看似朝霞升腾近观如彩带随风豌蜓飘动；【嘉峪关城楼】长城防线上重要的军事要塞、河西第一隘口，素有“天下第一雄关”之称；【莫高窟】被誉为20世纪最有价值的文化遗产，世界现存佛教艺术最伟大的宝库；【鸣沙山月牙泉】因“泉映月而无尘，亘古沙不填泉，泉不涸竭”而成为奇观成为塞上一绝；【茶卡天空一号】纯净、蓝白交织如一场美梦，真实还原宫崎骏《干与干寻》的场景；【青海湖】中国最美五大湖之首，犹如翡翠玉盘的眼泪，此刻一半湛蓝一半金黄;【塔尔寺】是中国藏传佛教格鲁派六大寺院之一，是西宁最受欢迎的旅游目的地之一。
【行程预览】"
"f1dfe6e0-4382-40de-9ee7-ee2d78e59e71","【餐饮安排】早/晚
早餐后出发前往出发前往大柴旦，途经【当金山】，所在的阿克塞哈萨克族自治县位于甘肃，青海，新疆三省（区)交界处，东至燕丹与肃北县接壤，北依催木图山与敦煌市为邻，南面的赛什腾山与青海省毗连西面的台与新疆维吾尔自治区的戈壁相望，总面积3.3万平方公里。昔日属于人迹罕至，飞鸟不驻之地。途经【南八仙雅丹】，地处青藏高原柴达木盆地北缘.它是由一列列断断续续延伸的长条形土墩与凹地沟槽间隔分布的地貌组合，被地质工作者称为雅丹地貌。随后前往游览【大柴旦翡翠湖】（含门票，不含区间车，预览约2小时）。如果说上帝在人间留下无数滴眼泪，那么这一颗一定是罕见的绝色，俯瞰整个湖面，如同数颗碎裂的绿宝石，白色的盐晶，蓝绿色的湖水，这梦幻般的色彩搭配，一定会惊艳到您！随后入住大柴旦酒店休息。
温馨提示： 1、此天途经之地较为偏僻，无推荐餐厅，可以提前自备便携式干粮（牛奶、面包、巧克力、水果等食物）。沿途视当日交通情况及进度，安排1-2次停车休息。
2、青海属于高海拔地区，部分贵宾可能会有高原反应，一般情况下高原反应的症状在两天之后会自动消除，可以自备一些防治高原反应的药物以保证夜间高质量的睡眠，减少晨起的头痛；
![image](/api/v1/kb/datas/images/708e69b0-d52c-4b12-a543-64d5a7e94c2e.jpeg) 
DAY6．大柴旦-茶卡盐湖/天空壹号景区（400KM，约5小时）－青海湖二郎剑（150KM，约2.5小时）一青海湖沿线
【参考酒店】嫦娥酒店/格日酒店/龙马避暑山庄/格桑梅朵酒店/青海湖甲乙赛/天湖大酒店/青海湖西海酒店/湖缘金湖酒店/西海酒店/旺湖酒店或同级
【餐饮安排】早/中
早餐后前往茶卡天空壹号景区，参观游览【茶卡盐湖】或【天空壹号·盐湖景区】（含门票，不含区间车，游玩约2小时）），透过指尖的光阴、邂逅盐湖之旅。水映天，天接地，人在湖间走，宛如画中游。游览透过清盈的湖水，观赏形状各异、正在生长的栩栩如生的朵朵盐花，探求湖底世界的神秘，领略涨潮后湖面上留下的滚滚盐涛奇观。茶卡盐湖以其生产、旅游两相宜而在国内外旅游界和青藏高原风光游中享有较高知名度，被国家旅游地理杂志评为“一生必去的55个地方”之一。
网红玻璃船：乘坐玻璃船、探秘灵动镜湖，听海天一色的声音。（赠送项目不用不退，若因参观人数过多导致无法体验无费用退还）"
"a0317ef0-9f11-4939-82b4-c3f41ede1f93","1、景区游览大概需要2小时。西北天气多变，带好雨具和防晒霜哦。如果时间来的急，最好待到6点之后，看看夕阳西下阳关洒在丹霞上，格外美丽。
2、张掖少数民族较多，旅途中注意对少数民族习俗的尊重。
3、甘川小吃一条街位于张掖市民主东街。街道两侧有各种小吃摊点一字排开，提供张掖特有的搓鱼面、羊肉粉皮面筋、香饭、小饭、煎血肠、羊头汤、鱼儿粉、灰豆汤、鸡肉垫卷子、山丹油果等各种风味小吃。其中鸡肉垫卷子最为有名，鸡肉垫卷子将薄面皮抹油撒葱花成卷，切段入嫩鸡肉汤蒸煮，汤煮尽出锅即可食。
DAY3.张掖-嘉峪关城楼娄（230KM，约3小时）-大地之子-海市蜃楼（约250公里，约3.5小时）-敦煌（约120公里，约2小时）
【参考酒店】敦煌慕礼酒店/敦煌石油大厦/桓宇酒店/安和大酒店/飞天大酒店/石油大厦/茉雅庄/兰新/嘉锦/玺迎缘/玺迎客滨河国际酒店/新泰大酒店天河湾酒店/丽都国际大酒店/华荣大酒店/天宇大酒店或同级别
【餐饮安排】早/中
早餐后前往【嘉峪关关城】（自理门票，不含电瓶车）（参观约1.5小时），内城外墙勾连环接，箭楼角楼相倚相望。万里黄沙间汉长城似游龙浮动，烽燧遗墩、断壁残垣若隐若现，犹如一幅凝聚着边塞沧桑的历史画卷。这里就是历史战争中最伟大的传奇之所，中华民族抵御外虏入侵的第一站。无数唐朝诗人在这里留下千古名篇，让人梦回萦绕。铮铮铁血在这里展现得淋漓尽致。站在它的脚下，才会真正被这座天下第一关所折服！随后出发前往瓜州，参观【大地之子】（参观约30分钟）是一座在戈壁滩上趴着熟睡的巨婴雕塑把人类比作一个孩子，在地球母亲的怀抱里熟睡。寓意是提醒我们要尊重爱护自己赖以生存的家园，从而减少对地球的破坏，也有在戈壁滩上多出了勃勃生机的意味。后参观【海市蜃楼】是雕塑群的其中之一，整个工程用特殊定制脚手架，几万个扣件连接起约6300根白色脚架，仿佛在戈壁上立起了一片海市蜃楼。随后前往敦煌，抵达敦煌后入住酒店。
温馨提示：
1、途中会经过高速休息站瓜州服务区，内有当地商贩在此兜售特产和瓜果，请您谨慎选择，此处非本产品指定购物店2、做好防晒，带些水。
3、带上身份证，需要刷身份证进入。
![image](/api/v1/kb/datas/images/8eb1690b-1188-4a60-b042-62fb0746ee53.jpeg) 丰万里毛城一弟甘装"
"6439f757-217f-4514-ab35-e7756d73667f","南海湾趣浪戏水节一日游

| 产品编号 |  | 出发地 | 中国-广东省-广州市 | 目的地 | 中国-广东省-广州市 |
| --- | --- | --- | --- | --- | --- |
| 行程天数 | 1 | 去程交通 | 无 | 返程交通 | 无 |
| 门市价 |  | 最近班期 |  |  |  |
| 参考航班 |  |  |  |  |  |
| 产品亮点 |  |  |  |  |  |"
"0c670f7f-88fd-4520-a5ce-4119806a9807","【参考酒店】敦煌慕礼酒店/敦煌石油大厦/桓宇酒店/安和大酒店/飞天大酒店/石油大厦/茉雅庄/兰新/嘉锦/玺迎缘/玺迎客滨河国际酒店/新泰大酒店天河湾酒店/丽都国际大酒店/华荣大酒店/天宇大酒店或同级别
【餐饮安排】早/中
早餐后参观见【莫高窟】（此行程含B票，若预约莫高窟A票，则需补138元的差价）（游览约2.5小时)坐落于河西走廊的西部尽头的敦煌，它的开凿从十六国时期至元代，经历了一千年才建成的，这在中国及世界都是罕见的，莫高窟的建筑规制特别，内藏玄机以石窟建筑而成的形式规制，外边朴实，内里惊艳。随后赴鸣沙山，参观【鸣沙山月牙泉】（含门票）（游览约2小时）是国家认证的5A级景区，历来以""山泉共处，沙泉共生""的奇景闻名于世，是游客最喜欢的敦煌打卡点之一。在这里，你可以看日出日落，也可以听驼铃悠扬;可以在温柔的沙海里，静默地放空;也可以从高耸的沙山顶上，奔跑而下，体验一把久违的自由。风景优美，妙趣横生，说起来，这个地方，是无愧于人们对她的钟爱与追捧。后入住酒店。
A/F温馨提示：
1、莫高窟预约及购票
1）提前30天开放预约，团队参观时间会按照订单签约时间依次进行预约，故同团中会出现预约莫高窟参观时间不一致的问题，甚至个别无票情况，我社会安排西干佛洞及敦煌博物馆代替。给您带来不便，敬请谅解！
2）莫高窟是集珍贵性、脆弱性为一体的世界文化遗产，需要我们精心的呵护。在参观过程中遇到因降雨、沙尘天气导致洞窟暂停开放，请您配合工作人员的安排，如延时开放，则推迟参观计划，如无法参观则按莫高窟规定退还门票费用。
2、莫高窟参观时间以预约时间为准、可能会根据预约时间调换参观顺序。
3、此天行程安排莫高窟B类票、（莫高窟4.1号起开始执行售完A票才售B类票、若实际运行中、门票产生为A票则需补差价138元/人）
4、敦煌地处沙漠，干旱少雨，紫外线强烈，穿衣遵循防晒、防风沙、防暑的原则
![image](/api/v1/kb/datas/images/d1ca542d-8b06-4929-93d2-47398c357bb7.jpeg) 
DAY 5．敦煌-南八仙-翡翠湖-大柴旦 (全程约 530 公里，车程约8小时）
上
【参考酒店】大柴旦黎明假日酒店/大柴旦华庭商务/大柴旦聚鑫商务/慕山丽璟假日宾/万和馨悦/红崖酒店/天成大酒店/大柴旦高原蓝/大柴旦浩宇大酒店/大柴旦晒北酒店或同级"
"cba6b2fe-9d22-4c79-b216-e4de24ba2e67","# 3、牛特别提醒：此天多为无人区、无服务区、多为旱厕、建议备伞

随后前往青海湖景区，参观游览【青海湖二郎剑景区】（含门票，不含区间车，游玩约2小时）)，是我国第一大内陆湖泊，也是我国最大的咸水湖。湖面纯净深湛、温柔恬雅的湖水，满载着古老而优美的传说，夹带着文成公主的相思，是如此的波澜壮阔、恢宏磅礴，漫步清海湖畔，拥一抹晨曦在心，握一缕格桑花的明艳于手，不思前尘，不念过往，心中，只存世事通透的安然。
青海湖篝火晚会：燃起篝火、放下疲惫、心情要好、生活要嗨！赠送项目不用不退，若因青海湖场地/天气原因等客观原因安排不了，则改去第七天在藏王宴上安排，若两个场地均安排不了，无费用退还随后入住酒店休息。
温馨提示：
1、青海湖附近自然环境、经济基础、接待条件相比内地可能会存在一定差距。（例如住宿标准方面，不宜用华东沿海地区要急躁，以相互体谅、互帮互助为先
2、盐湖地区海拔约3000米，要注意不能剧烈运动，以免产生高原反应。由于盐层比较粗糙，赤脚走路时会有些痛，如想进入湖中拍照，尽量带上鞋套或自备拖鞋。湖中有大小不等的溶洞深不见底，进入湖中请注意小心失足落入，不建议走的太深天气晴朗时紫外线强，且还有湖面的反射，需做好皮肤的防晒，保护眼睛的墨镜也是必备品。最好准备湿纸巾，当裸露的皮肤沾上盐水后要用淡水清洗或用湿纸巾擦掉，时间稍长，会对皮肤造成一定的损伤。
![image](/api/v1/kb/datas/images/afb269e0-041c-429f-9764-7af6e155678b.jpeg) 三
DAY7．青海湖沿线-高原藏寨-塔尔寺-兰州市区/新区（全程约424公里，车程约5.5小时）
【参考酒店】兰州蓝莓精品/兰州新胜利/华辰宾馆/友谊之星酒店/兰州星美/兰州盛合苑酒店/星程（西客站店）/华茂酒店/润东酒店/遇见酒店或同级
【餐饮安排】早/中"
"b71e2134-41b3-4f02-a12b-7c2aa89d4276","# 3、牛特别提醒：此天多为无人区、无服务区、多为旱厕、建议备伞

早餐后参观前往游览【高原藏寨】（参观约90-120分钟），令领略青海藏族的风土人情，参观神秘的藏族部落，感受汉藏结合地区的茶马互市。随后前往西宁，参观【塔尔寺】（含门票，不含区间车35元/人，讲解费15元/人起)（游览约2小时）），是中国藏传佛教格鲁派六大寺院之一，也是世界第二大佛宗喀巴大师的诞生地有600多年历史，是西宁最受欢迎的旅游目的地之一。随后前往兰州，抵达后入住酒店。温馨提示：
1、在寺院里，不能用手摸佛经、佛像、法器等，更不能跨越，不允许游客拍照
2、车转经轮时，一定是从左向右，不要乱摸藏族人的头和帽子；
3、青海较为干燥，请随时注意补充水分，多饮水。紫外线强烈，请备口罩，防晒霜，太阳眼镜等物品
![image](/api/v1/kb/datas/images/4c45a420-716b-4324-9633-d202a009953e.jpeg) 
DAY8.兰州市区/新区－广州（飞行时间约3小时）
?f.rr-IrrlA 参考航班】兰州-广州/MU23055/15:30-18:40、MU2219/07:45-10:55，具体以出票航班为准
【参考酒店】温馨的家 【餐饮安排】早餐
今天您可以睡到自然醒，消除这几天来的舟车疲劳，也可以早起酒店用完早餐后自由活动，自行安排午餐后酒店集合前往【黄河风情线】，黄河风情线大景区是兰州市独有的沿河景观带，全长123公里。其中，核心段全长42公里，覆盖475万平方米，沿线建有21座主题公园，音乐喷泉、健身步道、城市书吧星罗棋布，成为兰州的]""网红打卡地""
随后根据回程航班信息合理安排时间适时前往机场。搭乘航班返回结束愉快的西北之旅。
备注：如果航班是早班机回程，当天无行程安排，请谅解！
温馨提示：
1、1临行前请旅客检查个人随身物品是否齐全！
2、今天用车为普通旅游大巴车请知悉
3、酒店退房时间为中午12点，请提前退房。
4.兰州到机场80KM/约1.5小时车程、请提前4小时前往机场、以免误机
FPSJNLIJUWVUO
全程结束祝您旅途愉快！
■【接待标准以及自费项目说明】
①团费包含."
"2eafc5dd-48db-4281-8b09-a9400ba2bdb3","行程安排

| D1 | D1 |
| --- | --- |
| 行程详情 | 南海湾趣浪戏水节1日游 ——上午10:10-11:10 —— 抵达漾.南海湾营地 前往草帽DIY区域，选择喜欢的颜色 在专业指导或自由发挥下，完成一顶独一无二的草帽作品 ——上午10:10-11:10 —— 抵达漾.南海湾营地 前往足球和飞盘活动区域，与家人一起参与足球比赛或飞盘投掷游戏 在运动中增进亲子关系，享受户外运动的快乐 ——11:10-13:30—— 午餐时间(推荐营地烧烤或景区周边农家乐） ——14:00-15:30—— 抵达南海湾森林生态园 专属亲子时光，毫不退缩，追本溯源，逆流而上，勇往前行。景区湖溪段设置水枪大战区域，客人自行在游玩过程中开展水枪大战，体验清凉的水战乐趣。景区统一提供专业水枪，活动结束后水枪客人可自行带走。 ——15:30-17:00—— 溯溪结束后，可沿着园区内的步道或指定路线，进行森林公园徒步探索活动 观察昆虫、采摘植物，了解当地的生态环境和生物多样性 |
| 用餐 | 早餐：X 午餐：X 晚餐：X |
| 住宿 |  |"
